date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:36:42	219516/219516	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:41%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/home/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/home/index.html	(from )
22:36:43	166032/166032	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:41%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/services/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/services/index.html	(from )
22:36:43	160224/160224	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:41%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/service-detail/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/service-detail/index.html	(from )
22:36:48	133845/133845	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:47%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/about-us/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/about-us/index.html	(from )
22:36:49	158/158	---M-Z	200	added ('OK')	text/plain	date:Mon,%2019%20May%202025%2005:49:28%20GMT	https://nva.nirmanavisual.com/robots.txt		(from )
22:36:49	112822/112822	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:48%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/testimonial/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/testimonial/index.html	(from )
22:36:50	107977/107977	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:48%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/our-team/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/our-team/index.html	(from )
22:36:51	79733/79733	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Aug%202025%2006:40:43%20GMT	https://nva.nirmanavisual.com/pemogan/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=2.4.8	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendad2f.css	(from https://nva.nirmanavisual.com/pemogan/template-kit/home/)
22:36:53	94304/94304	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:53%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/contacts/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/contacts/index.html	(from )
22:36:53	123300/123300	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jul%202026%2001:36:53%20GMT	https://nva.nirmanavisual.com/pemogan/template-kit/faq/	C:/Meus%20Sites/SiteTLCM/nva.nirmanavisual.com/pemogan/template-kit/faq/index.html	(from )
